,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
39,Rare,"Selena Gomez",12085359,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
40,"What If I Told You That I Love You","Ali Gatie",12048379,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
41,SUGAR,BROCKHAMPTON,11780397,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
42,Fantasias,"Rauw Alejandro",11771125,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
43,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",11537377,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
44,BOP,DaBaby,11491111,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
45,"I Don't Care (with Justin Bieber)","Ed Sheeran",11439317,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
46,"hot girl bummer",blackbear,11328440,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
47,Muévelo,"Nicky Jam",10993777,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
48,"Me Gusta",Shakira,10896679,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
49,"Ballin' (with Roddy Ricch)",Mustard,10623085,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
50,"when the party's over","Billie Eilish",10371172,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
51,"HIGHEST IN THE ROOM","Travis Scott",10343504,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
52,China,"Anuel AA",10131283,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
53,"Blueberry Faygo","Lil Mosey",9987017,https://open.spotify.com/track/6wJYhPfqk3KGhHRG76WzOh
54,"10,000 Hours (with Justin Bieber)","Dan + Shay",9887527,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
55,"Sunday Best",Surfaces,9817480,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
56,"lovely (with Khalid)","Billie Eilish",9770866,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
57,"Ayy Macarena",Tyga,9752168,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
58,"Beautiful People (feat. Khalid)","Ed Sheeran",9489499,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
59,"Lucid Dreams","Juice WRLD",9419567,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
60,"No Idea","Don Toliver",9309589,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
61,"If The World Was Ending (feat. Julia Michaels)","JP Saxe",9171405,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
62,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",8663839,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
63,"Watermelon Sugar","Harry Styles",8483814,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
64,"LA CANCIÓN","J Balvin",8457394,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
65,"7 rings","Ariana Grande",8451507,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
66,Callaita,"Bad Bunny",8372613,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
67,"No Shame","5 Seconds of Summer",8367932,https://open.spotify.com/track/5JSVa5i6lFPoyOzK4gj0Ox
68,"No Me Conoce - Remix","Jhay Cortez",8363839,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
69,"Good News","Mac Miller",8337431,https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY
70,Lalala,Y2K,8267843,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
71,"Whine Up","Nicky Jam",8156279,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
72,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,8121336,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
73,Shallow,"Lady Gaga",8046721,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
74,"Never Seen the Rain","Tones and I",7767566,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
75,"Adicto (with Anuel AA & Ozuna)",Tainy,7657308,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
76,"It's You","Ali Gatie",7648747,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
77,"Old Town Road - Remix","Lil Nas X",7610017,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
78,"Only The Young - Featured in Miss Americana","Taylor Swift",7547341,https://open.spotify.com/track/2slqvGLwzZZYsT4K4Y1GBC
79,Woah,"Lil Baby",7530247,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
80,"Alone, Pt. II","Alan Walker",7524185,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
81,"Goodbyes (Feat. Young Thug)","Post Malone",7511244,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
82,"OUT WEST (feat. Young Thug)",JACKBOYS,7472700,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
83,"How Do You Sleep?","Sam Smith",7324778,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
84,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,7282009,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
85,Medusa,"Jhay Cortez",7241706,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP
86,"Black Swan",BTS,7160450,https://open.spotify.com/track/24NuEDgyRIljwSyY0lsr7b
87,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",7143141,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
88,Happier,Marshmello,7105060,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
89,Heartless,"The Weeknd",7082950,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
90,Ransom,"Lil Tecca",6924579,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
91,Blanco,"J Balvin",6910519,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
92,July,"Noah Cyrus",6894740,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
93,Bruises,"Lewis Capaldi",6886373,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
94,Aventura,Lunay,6851440,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
95,"Bellaquita - Remix",Dalex,6818490,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
96,"Without Me",Halsey,6800716,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
97,Believer,"Imagine Dragons",6796750,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
98,"Que Tire Pa Lante","Daddy Yankee",6704688,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
99,Baby,"Joker Bra",6699800,https://open.spotify.com/track/1V7JaMp11LKGwKiVmSetf0
100,Sucker,"Jonas Brothers",6658672,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
101,"WHATS POPPIN","Jack Harlow",6650403,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
102,"rockstar (feat. 21 Savage)","Post Malone",6622379,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
103,"Futsal Shuffle 2020","Lil Uzi Vert",6612761,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
104,"me & ur ghost",blackbear,6566266,https://open.spotify.com/track/4yJiXq86uM56uIfIZgE440
105,Yikes,"Nicki Minaj",6561188,https://open.spotify.com/track/75dLEqanQTupF3dtP9exT5
106,"Yellow Hearts","Ant Saunders",6554824,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl
107,VIBEZ,DaBaby,6545609,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
108,Girl,"Myke Towers",6542182,https://open.spotify.com/track/43NqTeL8pgBxKHPMiJKUP5
109,"ocean eyes","Billie Eilish",6502380,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
110,Wow.,"Post Malone",6471337,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
111,Robbery,"Juice WRLD",6445509,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
112,"Bohemian Rhapsody - 2011 Mix",Queen,6443569,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
113,"Forever Yours - Avicii Tribute",Kygo,6426071,https://open.spotify.com/track/3o1CUVeHIid49sabk6A6Nf
114,"Get You The Moon (feat. Snøw)",Kina,6418845,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
115,"bury a friend","Billie Eilish",6308235,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
116,"Shape of You","Ed Sheeran",6290467,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
117,"Money In The Grave (Drake ft. Rick Ross)",Drake,6269520,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
118,Definitivamente,"Daddy Yankee",6232918,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
119,Indeciso,Reik,6208124,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
120,Birthday,Anne-Marie,6207326,https://open.spotify.com/track/5hff5RQeE84pznOt8WEWeO
121,"HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX","Travis Scott",6107499,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn
122,"Say You Won't Let Go","James Arthur",6088005,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
123,"Piece Of Your Heart",MEDUZA,6087338,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
124,"Good as Hell (feat. Ariana Grande) - Remix",Lizzo,6066001,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd
125,Quizas,"Rich Music LTD",5987542,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
126,"Trampoline (with ZAYN)",SHAED,5984690,https://open.spotify.com/track/2ez6qvOTHKeI3ss80NGqnI
127,"Lights Up","Harry Styles",5956581,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
128,SAD!,XXXTENTACION,5943238,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
129,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,5937997,https://open.spotify.com/track/1v7L65Lzy0j0vdpRjJewt1
130,"SICKO MODE","Travis Scott",5936395,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
131,"Dancing With A Stranger (with Normani)","Sam Smith",5926249,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
132,"Si Te Vas",Sech,5908894,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
133,"Jocelyn Flores",XXXTENTACION,5838519,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
134,"Still Be Friends (feat. Tory Lanez & Tyga)",G-Eazy,5831022,https://open.spotify.com/track/0JjM9bKm4wrwohMslcm892
135,Perfect,"Ed Sheeran",5797815,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
136,"thank u, next","Ariana Grande",5731220,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
137,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",5730424,https://open.spotify.com/track/3Ghyp3X5Ua9ypHnBIgOObI
138,"Eastside (with Halsey & Khalid)","benny blanco",5705758,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
139,Maniac,"Conan Gray",5628956,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP
140,"Sweet but Psycho","Ava Max",5626011,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
141,"You Need To Calm Down","Taylor Swift",5620124,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
142,"Can We Kiss Forever?",Kina,5614273,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
143,GOODMORNINGTOKYO!,"TOKYO’S REVENGE",5583116,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
144,"Que Calor (with J Balvin & El Alfa)","Major Lazer",5562482,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
145,"I Do It (ft. Big Sean, Lil Baby)","Lil Wayne",5561205,https://open.spotify.com/track/1bRO28yzxgO3y3UmNR29TZ
146,"Hate Me (with Juice WRLD)","Ellie Goulding",5551726,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
147,"Truth Hurts",Lizzo,5550671,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
148,"Perreo en La Luna","Rich Music LTD",5518834,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV
149,"No Judgement","Niall Horan",5517494,https://open.spotify.com/track/5IUOU5xkzGHsRFOYNu3GSK
150,"Girls Like You (feat. Cardi B)","Maroon 5",5474621,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
151,"Higher Love",Kygo,5465169,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
152,Infeliz,Arcangel,5442616,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
153,"Soltera - Remix",Lunay,5412617,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
154,goosebumps,"Travis Scott",5409956,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
155,"Broke In A Minute","Tory Lanez",5385414,https://open.spotify.com/track/2ZrAjMSmlbDIil0JaVgTHh
156,"SLOW DANCING IN THE DARK",Joji,5370237,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
157,"All I Want - From ""High School Musical: The Musical: The Series""","Olivia Rodrigo",5345896,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
158,"all the good girls go to hell","Billie Eilish",5345080,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
159,"All of Me","John Legend",5333740,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
160,"I Like Me Better",Lauv,5308104,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
161,"Better Now","Post Malone",5301682,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
162,Tutu,Camilo,5280237,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
163,"No Guidance (feat. Drake)","Chris Brown",5280194,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
164,"Get Me","Justin Bieber",5236560,https://open.spotify.com/track/6zGPytJiZmFuyVq7RTNO9G
165,Takeaway,"The Chainsmokers",5217581,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
166,"3 Nights","Dominic Fike",5213534,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
167,Moonlight,XXXTENTACION,5208229,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
168,"Yo x Ti, Tu x Mi",ROSALÍA,5202210,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
169,"i love you","Billie Eilish",5161649,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
170,I.F.L.Y.,Bazzi,5153280,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
171,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",5148516,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
172,"If I Can't Have You","Shawn Mendes",5114736,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
173,"High Hopes","Panic! At The Disco",5093057,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
174,EARFQUAKE,"Tyler, The Creator",5079657,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
175,Youngblood,"5 Seconds of Summer",5073494,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
176,"Pa' Olvidarme De Ella","Piso 21",5066711,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
177,"wish you were gay","Billie Eilish",5062419,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
178,"QUE PRETENDES","J Balvin",5036080,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
179,"Be Alright","Dean Lewis",5024825,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
180,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",5013732,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
181,Psycho,"Red Velvet",4991751,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK
182,Suge,DaBaby,4986299,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
183,"Let Me Down Slowly","Alec Benjamin",4981207,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
184,"Con Altura",ROSALÍA,4961249,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
185,"Only Human","Jonas Brothers",4953866,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
186,"Too Good At Goodbyes","Sam Smith",4953639,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
187,Falling,"Harry Styles",4951977,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
188,Eleven,Khalid,4947780,https://open.spotify.com/track/1ToprX3cpBiXoAe5eNSk74
189,"Talk (feat. Disclosure)",Khalid,4940984,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
190,"Sum 2 Prove","Lil Baby",4910412,https://open.spotify.com/track/2u3EyuCqqV31woqGvO9LBz
191,"Hot (Remix) [feat. Gunna and Travis Scott]","Young Thug",4905155,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m
192,Weiss,Samra,4872077,https://open.spotify.com/track/38YP1STiBe3AZevFFJILf4
193,"Con Calma","Daddy Yankee",4861378,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
194,"MIDDLE CHILD","J. Cole",4836113,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
195,"God's Plan",Drake,4828840,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
196,"Otro Trago - Remix",Sech,4803294,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
197,Thunder,"Imagine Dragons",4797310,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
198,"you should see me in a crown","Billie Eilish",4796206,https://open.spotify.com/track/3XF5xLJHOQQRbWya6hBp7d
199,Photograph,"Ed Sheeran",4796166,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
200,"A Gente Fez Amor - Ao Vivo","Gusttavo Lima",4793221,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5
